file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,ISLE_SESS0131_BLOCKD02_01_sprt1,-41.737207740617436,-52.826281683785574,4.850646421905635,11.670084501682663
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,ISLE_SESS0131_BLOCKD02_03_sprt1,-42.13812065972222,-53.49024200439453,3.840284819732287,11.511384912777462
F2BJRLP1,0.0,25.309125,F2BJRLP1,-46.36542498024496,-46.980231836539545,3.7390097921813377,6.87720609719088
F2BJRLP3,0.0,30.7068125,F2BJRLP3,-46.34346507652231,-46.76086881333503,3.6842012146781,10.3934606430643
F2BJRLP2,0.0,28.6474375,F2BJRLP2,-45.86828097731239,-46.0810978779426,3.2992825129806267,7.854610382331879
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,ISLE_SESS0131_BLOCKD02_02_sprt1,-41.65624496617268,-48.578383445739746,2.5674290509227986,12.349731720154512
